,date,msg,year,month,days,Month_Name,Day_Name,date_is_weekend
0,2013-12-15 00:50:00,ищу на сегодня мужика 37,2013,15,December,December,Sunday,weekend
1,2014-04-29 23:40:00,ПАРЕНЬ БИ ИЩЕТ ДРУГА СЕЙЧАС!! СМС ММС 0955532826,2014,29,April,April,Tuesday,weekday
2,2012-12-30 00:21:00,Днепр.м 43 позн.с д/ж *.о  067.16.34.576,2012,30,December,December,Sunday,weekend
3,2014-11-28 00:31:00,КИЕВ ИЩУ Д/Ж ДО 45 МНЕ СЕЙЧАС СКУЧНО 093 629 98 14 САША ЗВОН,2014,28,November,November,Friday,weekday
4,2013-10-26 23:11:00,Зая я тебя никогда не обижу  люблю тебя!)  Даше,2013,26,October,October,Saturday,weekend
5,2016-03-08 22:52:00,пар.32прок.дев.на авто по ночн.городу.Днепр.0681705017,2016,8,March,March,Tuesday,weekday
6,2014-02-18 00:23:00,Семейная пара познакомится для отношений,2014,18,February,February,Tuesday,weekday
7,2012-11-23 01:10:00,ДЛЯ С.П СНАЧАЛО СМС 066.679.400.8,2012,23,November,November,Friday,weekday
8,2014-12-23 01:20:00,Дедушки ау вы где? СНЕГУРОЧКИ СКУЧАЮТ. Здесь есть нормальные. Перезвоним,2014,23,December,December,Tuesday,weekday
9,2012-11-03 23:46:00,ищу парня с авто.063 528 90 72,2012,3,November,November,Saturday,weekend
10,2013-07-26 00:11:00,Хочу обшения на инт темы с девушкой 0500747823 я парень. Жду придл,2013,26,July,July,Friday,weekday
11,2013-12-18 00:39:00,открою дверь прохожему который хочет погреться. Анна 25,2013,18,December,December,Wednesday,weekday
12,2013-06-05 01:05:00,.эксперементаторше. 0678676246,2013,5,June,June,Wednesday,weekday
13,2016-11-27 22:29:00,Полненькая девушка ищет парня для серн.отн.Алина 22! 0936325538,2016,27,November,November,Sunday,weekend
14,2015-10-04 01:42:00,парень ищет общения. 099,2015,4,October,October,Sunday,weekend
15,2012-08-24 23:13:00,Саша 4 Я знаю все о твоих письмах.Сколько это будет продолжаться?,2012,24,August,August,Friday,weekday
16,2015-10-19 22:52:00,КТО СДЕЛАЕТ ПАРНЮ МАССАЖ ДЕВ ИЛИ 2 СЕЙЧАС 099 152 94 91,2015,19,October,October,Monday,weekday
17,2013-10-13 01:01:00,М.37 хочу общения с д/ж и не только. смс ммс звони 0931446848,2013,13,October,October,Sunday,weekend
18,2016-01-19 22:33:00,Элегантная госпожа ищет мальчика на побегушках. И БЕЗ БЭ!,2016,19,January,January,Tuesday,weekday
19,2014-03-17 23:16:00,МЗ9ПОЗНАК.СО СТРОЙНОЙ ДЕВ.С ДНЕПРА ДО З0 ДЛЯ С.О.0666З00525,2014,17,March,March,Monday,weekday
20,2014-06-11 00:12:00,парень познакомиться с.девушкой для серьёзных отношений придержи 0688717125,2014,11,June,June,Wednesday,weekday
21,2014-01-23 00:17:00,увезу Д до 20 за границу стройн красив Алексей,2014,23,January,January,Thursday,weekday
22,2015-02-18 00:34:00,ищю д-ж для и от30до60 сначала смс админ 226(0930852713),2015,18,February,February,Wednesday,weekday
23,2013-09-10 00:06:00,ласковая кошечка ищет своего ночного котика,2013,10,September,September,Tuesday,weekday
24,2013-03-18 02:00:00,Мар Володя,2013,18,March,March,Monday,weekday
25,2014-06-03 01:01:00,М   41.185.75. Интересные Женщ. Есть? Дн-жинск.0639642652,2014,3,June,June,Tuesday,weekday
26,2016-07-31 23:19:00,М38/192/95 ищу сим дев реб не помеха 0679688357,2016,31,July,July,Sunday,weekend
27,2014-11-30 22:59:00,М 48/176 для серьёзн. отн с Ж до 49л  ДНЕПР  096 22 66 030  задержи,2014,30,November,November,Sunday,weekend
28,2016-11-08 00:17:00,097 509 29 45 ИЩУ Д/Ж 35-45 ЛЕТ ДЛЯ И. О .ЗАПОРОЖЬЕ!ОТВ.НА СМС.ММС:),2016,8,November,November,Tuesday,weekday
29,2014-03-21 22:56:00,отв 80,2014,21,March,March,Friday,weekday
30,2013-03-16 23:20:00,Д.позн.с поряд.парнем27-29 Для С/О.Ростдо1.75 только СМС 0639909813,2013,16,March,March,Saturday,weekend
31,2013-03-03 00:58:00,. Мне 36. Хочу женщину 50-55лет. Жду смс ммс. Днепр!! 0962820419.,2013,3,March,March,Sunday,weekend
32,2012-02-20 23:40:00,ПАР ПРИГЛАСИТ ИЛИ ПРИЕДЕТ К  ДЕВ ДЛЯ ЛЮБВИ сейчас 093 403 65 35,2012,20,February,February,Monday,weekday
33,2015-07-03 00:45:00,п+п познакомится30-45 звонить завтра после10 .0675174424,2015,3,July,July,Friday,weekday
34,2015-10-10 00:52:00,Днепр Пар 32лет познак с Жен 40-50лет для встреч 093-011-85-54 СМС,2015,10,October,October,Saturday,weekend
35,2015-10-27 01:07:00,Парень 24. Ищу девушку,2015,27,October,October,Tuesday,weekday
36,2014-06-30 01:13:00,Адекватный парень с богатой фантазией пообщается с раскрепощенной девушкой на любые  в т.ч. и**** темы (096)2833169. Киевстар.,2014,30,June,June,Monday,weekday
37,2013-11-05 01:49:00,СамыйПервыйПакимонЧебурашкараскрылТайнуСвоегоПоявнияНаСветНеповерите,2013,5,November,November,Tuesday,weekday
38,2013-10-26 00:12:00,сделаю инт массаж М за 40 Света,2013,26,October,October,Saturday,weekend
39,2016-05-07 00:07:00,Муж.45.женат ищу дев.женщину для встреч.жду ваши смс 050 24 88 666,2016,7,May,May,Saturday,weekend
40,2012-02-17 00:49:00,ПРИВЕТ!ХОРОШИЙ ПАРЕНЬ 29Л.ПОЗН.С ДАМОЙ.СМС НА 095.111.40.23ПРИДЕРЖИ,2012,17,February,February,Friday,weekday
41,2013-02-23 00:53:00,Полная девушка ищет парня. 0635923435,2013,23,February,February,Saturday,weekend
42,2013-01-19 01:08:00,Вась  скучаю  твоя Аленка,2013,19,January,January,Saturday,weekend
43,2013-11-16 23:46:00,Вы лучшие! нашел Девушку она делает всееее!,2013,16,November,November,Saturday,weekend
44,2016-07-01 23:42:00,Есть толковый парень? желательно без пошлостей. Маша. 26 лет,2016,1,July,July,Friday,weekday
45,2012-05-29 00:28:00,П26 ищу женщину.Хотелось бы старше.Днепр.0501365708,2012,29,May,May,Tuesday,weekday
46,2012-09-25 23:46:00,парень ищет стройн  девушку на всю жизнь.0630431205.смс о себе.ДНЕПР,2012,25,September,September,Tuesday,weekday
47,2014-05-11 00:31:00,дев. обменяется и* фото с дев. Только ммс. Т. 096-520-67-97,2014,11,May,May,Sunday,weekend
48,2013-01-19 23:07:00,п 29 поз с дев  для встреч сейчас  0636501245 перезвоню задержи.,2013,19,January,January,Saturday,weekend
49,2014-10-06 23:40:00,Ж 46познак с М 50 и больше  Лера,2014,6,October,October,Monday,weekday
50,2012-05-17 02:22:00,нормальный парень хочет познакомитса с хорошей девушкой.0934210585,2012,17,May,May,Thursday,weekday
51,2015-10-18 00:57:00,м 50 поговорит с д/ж на и/т по смс Днепр 0995009049 возможна встречя,2015,18,October,October,Sunday,weekend
52,2014-04-26 23:49:00,ДНЕПР П38 ИЩУ Д-Ж25-35 ДЛЯ ЖИЗНИ РЕБ НЕПОМ0989876082СМС,2014,26,April,April,Saturday,weekend
53,2012-02-06 00:55:00,Оичка ты где пропала.,2012,6,February,February,Monday,weekday
54,2012-07-13 01:50:00,Парень с чл.для девочек 097 250 57 82,2012,13,July,July,Friday,weekday
55,2012-05-10 01:48:00,Когда Буратино достиг переходного возраста  у него на лице пошли опята...,2012,10,May,May,Thursday,weekday
56,2012-01-23 01:33:00,сергей юля,2012,23,January,January,Monday,weekday
57,2016-10-24 00:05:00,М+м 42 ищу друга Новомосковск и р-н 0661117489 смс,2016,24,October,October,Monday,weekday
58,2013-06-24 01:28:00,это просто кошмар! одни не мужики пошли! где настоящие???,2013,24,June,June,Monday,weekday
59,2015-01-03 00:29:00,ПРИЯТНО КОГДА РЯДОМ ПОЛОВИНКА НО ЕЁ НЕТ.....(( Я П25 0683431832 ММС СМС ЗП,2015,3,January,January,Saturday,weekend
60,2014-10-20 00:40:00,Для милой и нежной девушки 26.,2014,20,October,October,Monday,weekday
61,2015-09-24 01:12:00,М41 заберу к себе одинокую д-ж28-40можна с реб0989876082ответ на смс,2015,24,September,September,Thursday,weekday
62,2012-06-03 00:33:00,ПАР ПРИГЛАСИТ ИЛИ ПРИЕДЕТ К  ДЕВ ДЛЯ ЛЮБВИ И ЛАСКИ 093 403 65 35,2012,3,June,June,Sunday,weekend
63,2013-05-12 00:22:00,Д. 22 ищу состоятельного и интересного П. 0976722670,2013,12,May,May,Sunday,weekend
64,2014-06-16 22:35:00,НАТАША ТЫ САМАЯ ЛУЧШАЯ  РАД ЧТО ТЫ ЕСТЬ В МОЕЙ ЖИЗНИ!,2014,16,June,June,Monday,weekday
65,2014-03-18 23:24:00,.симейн.пара.познаком.с с/п.0674493030,2014,18,March,March,Tuesday,weekday
66,2013-11-03 23:31:00,есть кварт ищу М до 30 для с о Д 25 Наташа,2013,3,November,November,Sunday,weekend
67,2013-10-15 00:32:00,ПАРЕНЬ ищу ПАРНЯ место есть реал 063 261 8147,2013,15,October,October,Tuesday,weekday
68,2012-03-31 01:45:00,Классные Девочки есть?? 096 310 62 45,2012,31,March,March,Saturday,weekend
69,2012-06-09 00:41:00,Полн. женщина  познак. с М. от48л. для серьезн.общен. 098 592 49 84,2012,9,June,June,Saturday,weekend
70,2012-11-18 00:16:00,Оль  выходи за меня!!!!!,2012,18,November,November,Sunday,weekend
71,2014-07-09 23:33:00,симп. П ищет молодую худ. любовницу Дн-жинск. СНАЧАЛА СМС 0950474721,2014,9,July,July,Wednesday,weekday
72,2012-09-22 00:33:00,Ж.48 позн.с М. 0978532328,2012,22,September,September,Saturday,weekend
73,2014-07-03 00:01:00,замужняя устала от быта хочу любви и романтики.просто встречи номер не могу оставить Юля,2014,3,July,July,Thursday,weekday
74,2012-10-28 00:04:00,П28 ищу девушку до 35 можно в теле из дн-жинска для встреч 063380,2012,28,October,October,Sunday,weekend
75,2013-01-29 01:26:00,надеюсь у вас хотя бы есть металика или скорпионс,2013,29,January,January,Tuesday,weekday
76,2016-04-02 23:08:00,ж38 170 85 позн с мужч для с/о 0686543268,2016,2,April,April,Saturday,weekend
77,2013-12-18 00:35:00,Гена 48 л. ищу Ж. кот. готова к семейным узам.кв машина есть.КРАСИВ!,2013,18,December,December,Wednesday,weekday
78,2013-11-11 00:20:00,п30л познак. с д.ж для и.о тайна гарантир. 0999757868 смс Днепр,2013,11,November,November,Monday,weekday
79,2014-06-07 00:55:00,Умна темпераментна но очень взрослая Ж для М от 40 050 968 64 84ожогов,2014,7,June,June,Saturday,weekend
80,2012-04-14 01:28:00,Чиненый Олег я тебя люблю очень очень.юля,2012,14,April,April,Saturday,weekend
81,2013-09-23 00:53:00,ХОРОШИЙ ПАРЕНЬ ХОЧЕТ С ДЕВУШКОЙ 095 689 70 25 ПРИД,2013,23,September,September,Monday,weekday
82,2014-12-17 23:21:00,познакомлюсь с девушкой для с/о 0667776261,2014,17,December,December,Wednesday,weekday
83,2014-02-07 23:14:00,Хочу заявить на весь днепр что у меня самый лучший муж в мире которого я просто обожаю!твоя любимая зая)),2014,7,February,February,Friday,weekday
84,2016-08-30 23:29:00,Д познакометься с парном для дружбе 0931447415,2016,30,August,August,Tuesday,weekday
85,2012-10-05 00:22:00,ПОЗНАКОМЛЮСЬ С СИМП ДЕВУШКОЙ Я СООТВЕТСТВУЮ.ОТВЕЧУ НА ФОТО 967034617,2012,5,October,October,Friday,weekday
86,2013-02-06 00:03:00,моя кАнфеточка:*,2013,6,February,February,Wednesday,weekday
87,2012-03-21 00:54:00,подписчика,2012,21,March,March,Wednesday,weekday
88,2016-10-28 00:04:00,приглашу девушку попить винчика в гости 0980353489,2016,28,October,October,Friday,weekday
89,2014-01-12 23:35:00,М45 ИЩУ ПОКОРНУЮ СТОЙНУЮ  УХОЖЕНУЮ РАБУ  0638944582,2014,12,January,January,Sunday,weekend
90,2013-07-21 00:11:00,очаровательная девушка немножко пьяная побудет рядом с сильным мужиком.,2013,21,July,July,Sunday,weekend
91,2014-11-05 01:05:00,братве скучно девчонки звоните0975080717 дом2 рулит,2014,5,November,November,Wednesday,weekday
92,2015-01-13 00:07:00,сумасшедшая капризная зато какая страстная нужна такая?,2015,13,January,January,Tuesday,weekday
93,2015-01-06 00:47:00,Парень25 ищу девушку для инт/отн 0968699606,2015,6,January,January,Tuesday,weekday
94,2013-10-26 01:40:00,Если мне не позвонят я засну! разбудите пожалуста страсть! Руслана звони,2013,26,October,October,Saturday,weekend
95,2015-01-02 00:46:00,Привет я рая из рая,2015,2,January,January,Friday,weekday
96,2012-12-26 00:32:00,ПАР ПРИГЛАШУ ИЛИ ПРИЕДУ К ДЕВ ДЛЯ ВСТРЕЧИ. СЕЙЧAС 093 403 65 35,2012,26,December,December,Wednesday,weekday
97,2012-06-22 23:37:00,ДГ 37 СЫН ПРИВЕТ МАМА ВСЕ ПЕРЕДАЛА ДЕЛАЮ КАК ДОГОВОР.ОБНИМ СПОК НОЧ,2012,22,June,June,Friday,weekday
98,2013-03-28 23:27:00,ИЩУ ДЕВУШКУ ДО 18ЛЕТ  ТОЛЬКО ДНЕПР!С/О 0635838884СМС,2013,28,March,March,Thursday,weekday
99,2014-03-21 23:38:00,П37Позн с обыч простой не полной Д Ж СМС о себе 0964854729,2014,21,March,March,Friday,weekday
100,2013-02-25 00:11:00,П+П20-25 лет пишите звоните:-).0937457784,2013,25,February,February,Monday,weekday
101,2013-07-27 00:04:00,П.ИЩЕТ ДЕВУШКУ 25-35 ПРОВЕСТИ ВРЕМЯ И ОБЩ,2013,27,July,July,Saturday,weekend
102,2015-09-05 00:58:00,м-39/170 ищу спо*ж..м..с.п снач смс 063 798 06 35,2015,5,September,September,Saturday,weekend
103,2013-03-07 00:09:00,я М ищу Д замужн0634733074Днепр СМС.,2013,7,March,March,Thursday,weekday
104,2015-12-13 22:59:00,поговорю с женщиной приятном или удивлю романтикой! 050 95 030 22,2015,13,December,December,Sunday,weekend
105,2012-06-09 00:05:00,СИМ М БРЮНЕТ ПОЗ СИМ Д/Ж Г.ДНЕПРОРУДНЫЙ ЕСТЬ АВТО 0508372672 ЗАДЕР,2012,9,June,June,Saturday,weekend
106,2015-01-17 00:07:00,ДН-ЖНСК СИМП М ИЩУ Д ДЛЯ ВСТР ПЫШКУ ДО 50  093 144 82 10 СМС,2015,17,January,January,Saturday,weekend
107,2012-09-15 00:34:00,приветос Модер.спасибо с третьего раза песню поставили!!!!!,2012,15,September,September,Saturday,weekend
108,2012-07-13 02:12:00,7 Парень познакомиться с девушкой для всего от 18 до 20 0635948544,2012,13,July,July,Friday,weekday
109,2014-11-07 00:55:00,Зацелую мужчину до 65! Мне 34  Анна,2014,7,November,November,Friday,weekday
110,2012-12-12 01:23:00,ХОЛОСТЯК ИЩЕТ ДЕВУШКУ. 0935322713,2012,12,December,December,Wednesday,weekday
111,2015-09-25 01:16:00,готов приехать в гости или вы девочки мне 24 харьков 0964098149,2015,25,September,September,Friday,weekday
112,2012-06-23 00:44:00,Серый Волк ищет Красную Шапочку до 30л.0972318691.,2012,23,June,June,Saturday,weekend
113,2014-12-14 00:20:00,.Симп.Свабодный.Обесп. М.37л. 099 272 90 13.смс. Для крас.стройн.девушки.,2014,14,December,December,Sunday,weekend
114,2013-12-13 01:41:00,elena   есть. 0502360452,2013,13,December,December,Friday,weekday
115,2012-07-31 00:47:00,П 29.Позн.с красивой и не глупой!(смс)066 787 4554 Придержи спасибо.,2012,31,July,July,Tuesday,weekday
116,2014-04-05 23:51:00,Здам комнату одинокой дев. или женщине не дорого Днепр 0930044729за,2014,5,April,April,Saturday,weekend
117,2014-10-21 00:48:00,*** по телефону перезвоню сама.Анна,2014,21,October,October,Tuesday,weekday
